start_s,end_s,dur,nb_ratio_med,nb_ratio_p75,tonality_med,rms_med,flux_med,td_slope_med,td_slope_min,td_energy_med
3.95,4.75,0.7999999999999998,0.5874310731887817,1.666558861732483,1.0502190589904785,0.0007874722359701991,0.10106747597455978,-78.38211059570312,-1844.29931640625,4.896902649121912e-07
8.1,8.75,0.6500000000000004,0.2328902930021286,0.4881937503814697,1.0915603637695312,0.0011656940914690495,0.15817351639270782,-138.75732421875,-1960.78955078125,9.0806932027625e-07
8.75,9.3,0.5500000000000007,0.3254072964191437,0.8769614696502686,1.073106288909912,0.0009159587207250297,0.12328649312257767,-86.7340087890625,-1742.718505859375,9.81557572859219e-07
15.700000000000001,16.25,0.5499999999999989,0.6229715347290039,1.3789637088775635,1.0679041147232056,0.0008691612747497857,0.09673838317394257,-85.028076171875,-2457.052734375,5.706124236371386e-07
29.0,29.85,0.8500000000000014,0.2593797445297241,0.6116570234298706,1.07379150390625,0.0008169736829586327,0.10853864997625351,11.21063232421875,-2052.934326171875,5.798747859086792e-07
36.15,36.7,0.5500000000000043,1.2817208766937256,2.9842798709869385,1.0357481241226196,0.0011394945904612541,0.10379514843225479,110.85357666015625,-2844.01416015625,5.407746808160775e-07
40.25,41.0,0.75,0.9185407757759094,1.6090059280395508,1.0475226640701294,0.0008549781050533056,0.09159700572490692,-110.74371337890625,-1729.91796875,6.00085829280667e-07
48.800000000000004,49.4,0.5999999999999943,0.44099390506744385,0.7984892129898071,1.0780386924743652,0.0008908449672162533,0.1115574985742569,-146.2249755859375,-1630.682373046875,6.743670276252861e-07
49.4,49.65,0.25,0.1265755444765091,0.342550128698349,1.2339776754379272,0.0006764495046809316,0.0947093516588211,66.30401611328125,-1963.4002685546875,4.353289722747814e-07
65.45,66.2,0.75,0.44199106097221375,0.6475134491920471,1.0543618202209473,0.0007096339832060039,0.09568653255701065,86.8682861328125,-2134.10791015625,5.089547055709658e-07
74.75,75.5,0.75,0.9832590818405151,2.2539749145507812,1.0421420335769653,0.001286759041249752,0.11194363236427307,19.60906982421875,-3087.1826171875,6.870585343270718e-07
83.95,85.05,1.0999999999999943,0.5101906657218933,1.2809313535690308,1.0403203964233398,0.0008610079530626535,0.10642638802528381,68.90869140625,-2041.0247802734375,6.92034201540039e-07
121.10000000000001,121.8,0.6999999999999886,1.3001232147216797,1.8976380825042725,1.0345871448516846,0.0010493644513189793,0.09147188067436218,-107.74307250976562,-2661.9765625,3.3850044630350185e-07
121.8,122.15,0.3500000000000085,0.2893361747264862,0.39765775203704834,1.0901830196380615,0.0006441414589062333,0.10191549360752106,-111.07025146484375,-1704.052734375,5.68078461289293e-07
138.95000000000002,139.55,0.5999999999999943,0.32613569498062134,0.574552059173584,1.1000465154647827,0.0020054003689438105,0.17880773544311523,-5.2398681640625,-1877.1453857421875,2.388737777037398e-06
139.55,139.8,0.25,0.23884791135787964,0.33240386843681335,1.0615746974945068,0.0009870451176539063,0.11799491196870804,82.220458984375,-1497.9034423828125,2.1757897590101015e-06
158.6,159.35,0.75,0.5649329423904419,0.9960565567016602,1.0384916067123413,0.000691648805513978,0.10083021223545074,23.43597412109375,-1937.7762451171875,4.627136233642361e-07
159.35,160.15,0.8000000000000114,0.63848876953125,2.2685163021087646,1.0401604175567627,0.000771727878600359,0.10249540209770203,81.25762939453125,-2462.4755859375,5.102487930744905e-07
162.1,162.8,0.700000000000017,1.4046728610992432,2.912585496902466,1.0401098728179932,0.0010828920640051365,0.105187326669693,-21.63238525390625,-2502.63671875,6.635219808060933e-07
173.9,174.70000000000002,0.8000000000000114,0.30666130781173706,0.6210840940475464,1.0877152681350708,0.000679821940138936,0.10281586647033691,-26.825714111328125,-2360.551513671875,5.350847321877832e-07
194.55,195.20000000000002,0.6500000000000057,0.5993382930755615,2.3984873294830322,1.0682072639465332,0.001309956656768918,0.15395651757717133,-139.94293212890625,-1506.09130859375,2.0008283136310638e-06
207.8,208.5,0.6999999999999886,0.8540576696395874,2.790977716445923,1.035541296005249,0.000976395676843822,0.10391329228878021,-25.284576416015625,-2847.1298828125,6.173263659200989e-07
219.9,220.70000000000002,0.8000000000000114,0.694378137588501,1.803541898727417,1.048780918121338,0.0009285588748753071,0.12189856171607971,-21.987152099609375,-2209.944091796875,7.50146771988866e-07
221.0,221.45000000000002,0.45000000000001705,0.47647976875305176,1.1923580169677734,1.046509027481079,0.0008460563258267939,0.07920842617750168,-158.90960693359375,-1477.960205078125,8.949715323280303e-07
